e1,e2,
0,100,
100,0,
21.50219913105835,33.455116301596696,
20.472648399424337,31.80743773625222,
25.864629998961043,28.565570997658575,
20.99435418073693,27.261312930968224,
23.148199732128642,30.796890470034775,
23.77413015371286,24.53728578321722,
24.548481291146015,33.20009152822464,
20.481030964368614,37.23572910032167,
22.602097309874495,25.730685192286543,
18.81566714652977,34.87493928541517,
30.025883007548334,31.23416332411191,
18.482550244470723,32.447569222180434,
22.10752134899491,28.03397588228548,
23.861689955132054,28.610483764421215,
19.96566193707958,34.86299426536896,
20.263209458140906,33.886719609786354,
23.050778528511092,35.98184829451365,
21.960526848144553,30.1964439738419,
22.45874923945339,31.774325949331065,
23.32129953451279,38.03131260946091,
27.519353766841142,33.73456024720085,
18.226472171828224,31.290241185209265,
25.679776350073336,33.90541112402282,
22.83498900844808,33.500600285100084,
20.047697830739068,31.932113111977255,
22.540596344999145,36.727409145722476,
22.462696272137677,33.578348071890964,
22.81877849913318,30.190618677579202,
23.02610910796731,28.59654038514144,
20.564385490976186,30.469182316276036,
26.644531531753913,32.49552242384626,
27.852121633709828,32.26433908285954,
27.15450615488564,36.860449131986,
16.90978627684692,34.27066397329642,
21.87921834019094,34.05063638156999,
25.416047788643752,38.19791432737708,
20.007181045022705,29.788941452230976,
28.59035914231677,37.11893490017623,
22.62753022773483,28.598694076078722,
24.980313912329212,32.79572532048066,
23.510053275329586,36.13678757430452,
21.429355909441696,38.814665420264745,
21.424386422244936,27.18290046589844,
18.183561107276546,35.4844469254338,
16.814416467139885,30.062506664552917,
23.58080501487296,34.02486540024254,
19.230394081280444,33.80731874478782,
19.937838964487963,29.639612266775693,
23.709475550505644,34.58910281293876,
22.561123605608746,27.850749525535342,
20.964523557713484,30.0298655965533,
24.336106714929194,33.13717624053295,
23.560423814129095,32.99411436790069,
19.16903296185881,33.103142632656414,
27.492202988530988,26.926048469107553,
21.124040498507753,36.185480800513595,
24.124372924505487,34.73252269878728,
27.840146059647203,38.06931664123041,
17.53236111403253,32.71516767339593,
83.60010345792682,79.99331141190349,
77.45732410929696,75.94388348163292,
77.17956671784951,75.07502863715341,
81.57086967101814,74.3130536026444,
81.20563167981145,72.58475795435571,
82.81736169382172,75.44802183361999,
74.35278030713285,75.6787251624646,
83.34304419261396,77.47442332771722,
76.74607344000259,77.57936725662216,
76.8743325993526,81.25610010097502,
83.43646453364423,78.72770399366665,
86.63266562490992,73.14730659008237,
79.63557531422035,71.27082254981462,
80.34391917796816,73.49513611021113,
75.70246209977029,79.85426539442528,
81.1785677198108,84.03772121244967,
77.42935201491983,80.0675052261055,
78.17700954395698,80.30480366640164,
81.72363686247881,76.22012761390512,
76.16710990981609,78.64815421704988,
80.24813372881016,72.96489729538322,
82.90886435950942,86.12897748283106,
80.06287130612932,77.26323160080047,
84.84343494674044,81.5016126566691,
79.64234643410542,82.2721999751693,
81.32809177375267,75.4576899600933,
81.12562988989593,83.03738841412988,
76.03691394613193,79.94860581688127,
80.94022721556381,76.05994885725553,
81.98722861139773,75.41894939793623,
79.15694759310259,77.13825418786271,
77.43425455836315,79.30342186417411,
82.14763958364954,77.76660828034856,
81.30679612110077,75.72316879773618,
79.1170783213123,82.88220845183537,
81.8035338182514,69.45042420721784,
75.88625938512057,85.43744473313737,
83.18402046667595,72.61317929613905,
73.41158693649358,77.62833037147549,
79.50670725280406,75.82553098033719,
81.49174926030094,76.77290950936582,
82.17120858535873,71.34357304547034,
83.21811860109804,70.83072527981041,
85.54809730234317,73.25862563953154,
78.7445669154907,84.75205185481279,
78.99776497382037,74.78444408529157,
76.35683685266267,73.85453537429805,
76.3533678379184,82.14375056365367,
76.99759614623302,81.56356344203475,
77.59570507563788,78.57825441112729,
81.36457980068049,72.7515490893063,
77.97480448804079,80.53478666065725,
82.47302550683426,74.2045696812794,
78.68724186360744,73.2079269181624,
83.12252268467921,80.6415787949651,
80.5908474332245,73.37673055865794,
79.80434850127611,75.7009122905036,
79.84440383026352,76.45265108905734,
